mon,app,amt,acct,typ,num,vendor
Feb,Google Cloud Platform,24640.29,53000,Bill,INV313721,SADA SYSTEMS INC.
Feb,Salesforce - Slack Enterprise,24074.98,55000,Journal Entry,prepaid02.26,"SALESFORCE, INC. SLACK"
Feb,Codio,11836.68,55000,Bill,INV-1608,CODIO INC.
Feb,Google Workspace,7563.88,96100,Expense,,GOOGLE *WORKSPACE_COCC@GOOGLE.COM CA
Feb,Salesforce - Certification Exams,6018.75,55000,Journal Entry,prepaid02.26,"SALESFORCE, INC."
Feb,Calendly,3919.5,55000,Journal Entry,prepaid02.26,CALENDLY LLC
Feb,Maxio (formerly SaaSOptics),3402.34,96100,Journal Entry,prepaid02.26,"SAASOPTICS, LLC"
Feb,Zoom,3332.2,96100,Expense,,ZOOM.COM 888-799-966SAN JOSE CA
Feb,Profound,3000.0,81000,Journal Entry,prepaid02.26,PROFOUND
Feb,Okta,2608.6,55000,Journal Entry,prepaid02.26,OKTA INC
Feb,1Password,2421.45,96100,Journal Entry,prepaid02.26,AGILEBITS INC. DBA 1PASSWORD
Feb,HubSpot,2396.54,96100,Journal Entry,prepaid02.26,HUBSPOT INC
Feb,SurveyMonkey,2156.25,55000,Journal Entry,prepaid02.26,SURVEYMONKEY INC
Feb,CompTIA,2018.75,55000,Journal Entry,prepaid02.26,COMPTIA MRKETPLCE 800-511-3478 MN COMPTIA MRKETPLCE 800-511-3478 MN
Feb,CompTIA,2018.75,55000,Journal Entry,prepaid02.26,COMPTIA MRKETPLCE 800-511-3478 MN COMPTIA MRKETPLCE 800-511-3478 MN
Feb,CompTIA,2018.75,55000,Journal Entry,prepaid02.26,COMPTIA MRKETPLCE 800-511-3478 MN COMPTIA MRKETPLCE 800-511-3478 MN
Feb,Pearson VUE (Exam Vouchers),1884.17,55000,Journal Entry,prepaid02.26,VUE*COMPTIA MRKETPLCE - 8247 VUE*COMPTIA MRKETPLCE - 8247
Feb,Pearson VUE (Exam Vouchers),1884.17,55000,Journal Entry,prepaid02.26,VUE*COMPTIA MRKETPLCE - 8247 VUE*COMPTIA MRKETPLCE - 8247
Feb,Pearson VUE (Exam Vouchers),1884.17,55000,Journal Entry,prepaid02.26,VUE*COMPTIA MRKETPLCE - 8247 VUE*COMPTIA MRKETPLCE - 8247
Feb,Pearson VUE (Exam Vouchers),1884.17,55000,Journal Entry,prepaid02.26,VUE*COMPTIA MRKETPLCE - 8247 VUE*COMPTIA MRKETPLCE - 8247
Feb,Airtable,1873.98,96100,Expense,,AIRTABLE.COM/BILL SAN FRANCISCO CA
Feb,Zendesk,1840.72,96100,Journal Entry,prepaid02.26,ZENDESK - US SAN FRANCISCO CA
Feb,Salesforce - Slack Internal,1529.01,55000,Journal Entry,prepaid02.26,"SALESFORCE, INC. SLACK BUSINESS PLUS"
Feb,Sentry,1474.18,96100,Expense,,SENTRY SAN FRANCISCO CA
Feb,Mailchimp,1469.81,55000,Expense,,MAILCHIMP LLC ATLANTA GA
Feb,Pearson VUE (Exam Vouchers),1450.42,55000,Journal Entry,prepaid02.26,VUE*COMPTIA MRKETPLCE - 8247 VUE*COMPTIA MRKETPLCE - 8247
Feb,Zapier,1428.0,96100,Expense,,ZAPIER.COM/CHARGE SAN FRANCISCO CA
Feb,Greenhouse,1421.78,96100,Journal Entry,prepaid02.26,"GREENHOUSE SOFTWARE, INC."
Feb,Pearson VUE (Exam Vouchers),1382.33,55000,Journal Entry,prepaid02.26,VUE*COMPTIA MRKETPLCE - 9122
Feb,Outreach,1367.33,81000,Journal Entry,prepaid02.26,BLS*OUTREACH CORPORASEATTLE WA BLS*OUTREACH CORPORASEATTLE WA
Feb,Accredible,1306.67,55000,Journal Entry,prepaid02.26,ACCREDIBLE - 8247 ACCREDIBLE - 8247
Feb,Google Workspace,1287.36,96100,Expense,,GOOGLE*SVCSCORRELATICC GOOGLE.COM
Feb,CompTIA,1222.83,55000,Journal Entry,prepaid02.26,"COMPTIA, INC. - 9122"
Feb,ChatGPT,1194.16,96100,Expense,,OPENAI *CHATGPT SUBSSAN FRANCISCO CA
Feb,Carta,1043.39,96100,Journal Entry,prepaid02.26,CARTA (ESHARES) SAN FRANCISCO CA CARTA (ESHARES) SAN FRANCISCO CA
Feb,MindHub,1026.09,55000,Journal Entry,prepaid02.26,WL *NCS*MINDHUB.COM - 9122
Feb,Lovable,1001.65,96100,Expense,,LOVABLE DOVER DE
Feb,Notion,993.27,96100,Journal Entry,prepaid02.26,"NOTION LABS, INC. SAN FRANCISCO CA"
Feb,LinkedIn Sales Navigator,974.01,81000,Journal Entry,prepaid02.26,LINKEDIN SALES NAVIGATOR LINKEDINXXXXXXXXXXXX - 9122
Feb,Lovable,-915.0,96100,Credit Card Credit,,LOVABLE DOVER DE
Feb,Atlassian,840.73,96100,Expense,,ATLASSIAN SAN FRANCISCO CA
Feb,Salesforce - Tableau Cloud,827.45,96100,Journal Entry,prepaid02.26,TABLEAU CLOUD SALESFORCE.COM SERVICE - 9122
Feb,Pearson VUE (Exam Vouchers),816.5,55000,Journal Entry,prepaid02.26,VUE*COMPTIA MRKETPLCE - 9122
Feb,BambooHR,781.8,96100,Journal Entry,prepaid02.26,BAMBOOHR HRIS 866-387-9595 UT
Feb,Profound,750.0,81000,Journal Entry,prepaid02.26,PROFOUND
Feb,Cursor,696.8,96100,Expense,,"CURSOR, AI POWERED INEW YORK NY"
Feb,Culture Amp,642.23,96100,Journal Entry,prepaid02.26,CULTURE AMP INC
Feb,Workforce,600.0,96100,Expense,,WORKFORCE CLOUD TECHNEWARK DE
Feb,Pumble,560.9,96100,Expense,,CAKE.COM - 9122
Feb,Zendesk,-555.92,96100,Journal Entry,prepaid02.26,ZENDESK - US SAN FRANCISCO CA
Feb,CompTIA,531.67,55000,Journal Entry,prepaid02.26,"COMPTIA, INC. - 9122"
Feb,Adobe,530.33,96100,Expense,,ADOBE ADOBE INC - 9122
Feb,Pumble,521.55,96100,Expense,,CAKE.COM - 9122
Feb,Tremendous,515.0,81000,Expense,,TREMENDOUS.COM 877-319-4438 CA
Feb,Adobe,484.92,96100,Expense,,ADOBE ADOBE SYSTEMS SAN JOSE CA
Feb,Squadcast,475.79,96100,Expense,,"SQUADCAST, INC. SAN FRANCISCO CA"
Feb,GitHub,456.44,96100,Expense,,"GITHUB, INC. SAN FRANCISCO CA"
Feb,PayPal,453.71,55000,Journal Entry,prepaid02.26,PAYPAL *ISQI INC - 8247 PAYPAL *ISQI INC - 8247
