mon,app,amt,acct,typ,num,vendor
Mar,Google Cloud Platform,25931.3,53000,Bill,INV317177,SADA SYSTEMS INC.
Mar,Salesforce - Slack Enterprise,24074.98,55000,Journal Entry,prepaid03.26,"SALESFORCE, INC. SLACK"
Mar,Codio,12598.66,55000,Bill,INV-1642,CODIO INC.
Mar,Google Workspace,7563.88,96100,Expense,,GOOGLE *WORKSPACE_COCC@GOOGLE.COM CA
Mar,Salesforce - Certification Exams,6018.75,55000,Journal Entry,prepaid03.26,"SALESFORCE, INC."
Mar,Worksuite,3937.5,96100,Journal Entry,prepaid03.26,WORKSUITE INC.
Mar,Calendly,3919.5,55000,Journal Entry,prepaid03.26,CALENDLY LLC
Mar,Zoom,3332.2,96100,Expense,,ZOOM.COM 888-799-966SAN JOSE CA
Mar,Profound,3000.0,81000,Journal Entry,prepaid03.26,PROFOUND
Mar,Okta,2608.6,55000,Journal Entry,prepaid03.26,OKTA INC
Mar,1Password,2421.45,96100,Journal Entry,prepaid03.26,AGILEBITS INC. DBA 1PASSWORD
Mar,HubSpot,2396.54,96100,Journal Entry,prepaid03.26,HUBSPOT INC
Mar,SurveyMonkey,2156.25,55000,Journal Entry,prepaid03.26,SURVEYMONKEY INC
Mar,CompTIA,2018.75,55000,Journal Entry,prepaid03.26,COMPTIA MRKETPLCE 800-511-3478 MN COMPTIA MRKETPLCE 800-511-3478 MN
Mar,CompTIA,2018.75,55000,Journal Entry,prepaid03.26,COMPTIA MRKETPLCE 800-511-3478 MN COMPTIA MRKETPLCE 800-511-3478 MN
Mar,CompTIA,2018.75,55000,Journal Entry,prepaid03.26,COMPTIA MRKETPLCE 800-511-3478 MN COMPTIA MRKETPLCE 800-511-3478 MN
Mar,Airtable,1885.79,96100,Expense,,AIRTABLE.COM/BILL SAN FRANCISCO CA
Mar,Pearson VUE (Exam Vouchers),1884.17,55000,Journal Entry,prepaid03.26,VUE*COMPTIA MRKETPLCE - 8247 VUE*COMPTIA MRKETPLCE - 8247
Mar,Pearson VUE (Exam Vouchers),1884.17,55000,Journal Entry,prepaid03.26,VUE*COMPTIA MRKETPLCE - 8247 VUE*COMPTIA MRKETPLCE - 8247
